ABLA,"Specimen estimate (biomass, density or abundance ) for Diptera Tanypodinae Ablabesmyia spp."
ENCH,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Enchytraeidae"
EPHE,"Specimen estimate (biomass, density or abundance ) for Pelecypoda Ephemeroptera"
GAMM,"Specimen estimate (biomass, density or abundance ) for Gammaridae Gammarus sp."
GAST,"Specimen estimate (biomass, density or abundance ) for Pelecypoda Gastropoda"
HARN,"Specimen estimate (biomass, density or abundance ) for Diptera Chironominii Harnischia sp."
HCHA,"Specimen estimate (biomass, density or abundance ) for Diptera Orthocladiinae Heterotrissocladius changi"
HEXA,"Specimen estimate (biomass, density or abundance ) for Pelecypoda Ephemeroptera Ephemeridae Hexagenia sp."
HIRU,"Specimen estimate (biomass, density or abundance ) for Hirudinea"
HIRU,"Specimen estimate (biomass, density or abundance ) for unidentified Hirudinea"
HOLI,"Specimen estimate (biomass, density or abundance ) for Diptera Orthocladiinae Heterotrissocladius oliveri"
HSTA,"Specimen estimate (biomass, density or abundance ) for Hirudinea Glossiphoniidae Helobdella stagnalis"
HYAL,"Specimen estimate (biomass, density or abundance ) for Hyalellidae Hyalella sp."
HYDR,"Specimen estimate (biomass, density or abundance ) for Diptera Chironominii Hydrobaenus sp."
IFRE,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Tubificinae Isochaetides freyi"
IMWH,"Specimen estimate (biomass, density or abundance ) for Diptera Chironominii immatures with hair satae"
IMWO,"Specimen estimate (biomass, density or abundance ) for Diptera Chironominii immatures without hair setae"
ISOP,"Specimen estimate (biomass, density or abundance ) for Isopoda"
ITEM,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Tubificinae Ilyodrilus templetoni"
lat_dd,Latitude in decimal degrees
lat_ddm,Latitude in degrees decimal minutes
LCER,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Tubificinae Limnodrilus cervix"
LCLA,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Tubificinae Limnodrilus claparedianus"
LHOF,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Tubificinae Limnodrilus hoffmeisteri"
LMAU,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Tubificinae Limnodrilus maumeensis"
long_dd,Longitude in decimal degrees
long_ddm,Longitude in degrees decimal minutes
LPRO,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Tubificinae Limnodrilus profundicola"
LSPI,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Tubificinae Limnodrilus spiralis"
LUDE,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Tubificinae Limnodrilus udekemianus"
MICR,"Specimen estimate (biomass, density or abundance ) for Diptera Tanytarsinii Microspectra sp."
MONO,"Specimen estimate (biomass, density or abundance ) for Diptera Diamesinae Monodiamesia sp."
MPED,"Specimen estimate (biomass, density or abundance ) for Diptera Chironominii Microtendipes sp."
MTUB,"Specimen estimate (biomass, density or abundance ) for Diptera Diamesinae Monodiamesia tuberculata"
NAIS,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Nais sp."
NBRE,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Nais bretscheri"
NCOM,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Nais communis"
NELI,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Nais eliguis"
NPAR,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Nais pardalis"
NPSE,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Nais pseudobtusa"
NSIM,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Nais simplex"
NVAR,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Nais variabilis"
OECE,"Specimen estimate (biomass, density or abundance ) for Pelecypoda Leptoceridae Ocetis sp."
OLIG,"Specimen estimate (biomass, density or abundance ) for Oligochaeta"
ORTH,"Specimen estimate (biomass, density or abundance ) for Diptera Orthocladiinae Orthocladius sp."
OSER,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Opistonais serpentina"
OTHE,"Specimen estimate (biomass, density or abundance ) for Other (biomass only)"
PALB,"Specimen estimate (biomass, density or abundance ) for Diptera Chironomidae albimanus"
PARA,"Specimen estimate (biomass, density or abundance ) for Diptera Tanytarsinii Paratanytarsus sp."
PBAV,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Tubificinae Potamothrix bavaricus"
PBLA,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Piguetiella blanchi"
PHAL,"Specimen estimate (biomass, density or abundance ) for Diptera Chironomidae Polypedilum halterale grp."
PISC,"Specimen estimate (biomass, density or abundance ) for Hirudinea Piscicolidae Piscicola sp."
PKIE,"Specimen estimate (biomass, density or abundance ) for Diptera Orthocladiinae Parakiefferiella sp."
PLOG,"Specimen estimate (biomass, density or abundance ) for Diptera Diamesinae Potthastia longimanus"
PMIC,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Piguetiella michiganesis"
PMOL,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Tubificinae Potamothrix moldaviensis"
PNER,"Specimen estimate (biomass, density or abundance ) for Diptera Chironominii Paracladopelma nereis"
PNIG,"Specimen estimate (biomass, density or abundance ) for Diptera Chironomidae Paralauterborniella nigrohalteralis"
POLY,"Specimen estimate (biomass, density or abundance ) for Diptera Chironomidae Polypedilum sp."
PRIS,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Pristina sp."
PROC,"Specimen estimate (biomass, density or abundance ) for Diptera Tanypodinae Procladius sp."
PROT,"Specimen estimate (biomass, density or abundance ) for Diptera Diamesinae Protanypus sp."
PSCA,"Specimen estimate (biomass, density or abundance ) for Diptera Chironomidae Polypedilum tuberculum"
PSEU,"Specimen estimate (biomass, density or abundance ) for Diptera Chironomidae Pseudochironomus sp."
PSMI,"Specimen estimate (biomass, density or abundance ) for Diptera Orthocladiinae Psectrocladius simulans"
PTUB,"Specimen estimate (biomass, density or abundance ) for Diptera Chironomidae Polypedilum scalaenum"
PUDI,"Specimen estimate (biomass, density or abundance ) for Diptera Chironominii Paracladopelma undine"
PVEJ,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Tubificinae Potamothrix vejdovskyii"
PWIN,"Specimen estimate (biomass, density or abundance ) for Diptera Chironomidae Paracladopelma winnelli"
RCOC,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Tubificinae Rhyacodrilus coccineus"
Region,"Lists region of Lake Huron the station is located including main basin, North Channel embayment, and Georgian Bay"
Replicate,"Muliptle samples, or replicates, collected for each station grab.  This field denotes the replicate the results are from."
SAPP,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Slavina appendicula"
SFER,"Specimen estimate (biomass, density or abundance ) for Diptera Chironominii Spirosperma ferox"
SFOS,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Stylaria fossularis"
SHER,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Lumbriculidae Stylodrilus heringianus"
SJOS,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Specaria josinae"
SLAC,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Stylaria lacustris"
SNIK,"Specimen estimate (biomass, density or abundance ) for Diptera Chironominii Spirosperma nikolskyi"
SPHA,"Specimen estimate (biomass, density or abundance ) for Pelecypoda Sphaeriidae"
station ,Station name
STIC,"Specimen estimate (biomass, density or abundance ) for Diptera Sticochironomus sp."
substrate ,Description of substrate from grab sample
TANY,"Specimen estimate (biomass, density or abundance ) for Diptera Tanytarsinii Tanytarsus sp."
TAYP,"Specimen estimate (biomass, density or abundance ) for Diptera Tanypodinae"
TCHI,"Specimen estimate (biomass, density or abundance ) for Diptera Chironomidae"
THIE,"Specimen estimate (biomass, density or abundance ) for Diptera Tanypodinae Thienemannimya grp."
TRIB,"Specimen estimate (biomass, density or abundance ) for Diptera Tribelos sp."
TSUP,"Specimen estimate (biomass, density or abundance ) for Diptera Chironominii Tasserkidrilus superiorensis"
TTUB,"Specimen estimate (biomass, density or abundance ) for Diptera Chironominii Tubifex tubifex"
UNDE,"Specimen estimate (biomass, density or abundance ) for Unidentified Chironomidae"
UUNI,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Uncinais uncinata"
VANG,"Specimen estimate (biomass, density or abundance ) for Diptera Chironominii Varichaetadrilus angustipenis"
VINT,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Vejdovskyella intermedia"
VSIN,"Specimen estimate (biomass, density or abundance ) for Pelecypoda Valvatidae Valvata sincera"
Y####,"Header denotes four digit year, values list what seasons were sampled for a given year. Sp = Spring; S = Summer; F = Fall. Stations sampled for Dreissena by divers are designated with a “D”; all diver samples were collected in fall. Blank cells indicate no samples were collected."
Y###_depth_m,Four digit year and depth in meters for the station and year. Blank cells indicate no samples were collected.
Year,Four digit year
ZYGO,"Specimen estimate (biomass, density or abundance ) for Pelecypoda Zygoptera"
